type,document_person,selfie_person,document,selfie,similarity,status
impostor,4,1,1.jpeg,3.jpeg,0.5188,valid
impostor,4,1,1.jpeg,4.jpeg,0.4927,valid
impostor,4,2,1.jpeg,1.jpeg,0.5033,valid
impostor,4,2,1.jpeg,2.jpeg,0.5135,valid
impostor,4,2,1.jpeg,3.jpeg,0.4604,valid
impostor,4,2,1.jpeg,4.jpeg,0.5099,valid
impostor,4,3,1.jpeg,1.jpeg,0.5614,valid
impostor,4,3,1.jpeg,2.jpeg,0.5727,valid
impostor,4,3,1.jpeg,3.jpeg,0.5518,valid
impostor,4,3,1.jpeg,4.jpeg,0.5569,valid
impostor,4,5,1.jpeg,1.jpeg,0.5579,valid
impostor,4,5,1.jpeg,2.jpeg,0.5422,valid
impostor,4,5,1.jpeg,3.jpeg,0.5174,valid
impostor,4,5,1.jpeg,4.jpeg,0.5288,valid
impostor,4,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,4,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,4,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,4,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,4,7,1.jpeg,1.jpeg,0.5647,valid
impostor,4,7,1.jpeg,2.jpeg,0.545,valid
impostor,4,7,1.jpeg,3.jpeg,0.5009,valid
impostor,4,7,1.jpeg,4.jpeg,0.5566,valid
impostor,4,8,1.jpeg,1.jpeg,0.5967,valid
impostor,4,8,1.jpeg,2.jpeg,0.6037,valid
impostor,4,8,1.jpeg,3.jpeg,0.5797,valid
impostor,4,8,1.jpeg,4.jpeg,0.5783,valid
impostor,4,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,4,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,4,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,4,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,4,10,1.jpeg,1.jpeg,0.4609,valid
impostor,4,10,1.jpeg,2.jpeg,0.5104,valid
impostor,4,10,1.jpeg,3.jpeg,0.5475,valid
impostor,4,10,1.jpeg,4.jpeg,0.481,valid
impostor,5,1,1.jpeg,1.jpeg,0.5446,valid
impostor,5,1,1.jpeg,2.jpeg,0.5339,valid
impostor,5,1,1.jpeg,3.jpeg,0.5053,valid
impostor,5,1,1.jpeg,4.jpeg,0.6406,valid
impostor,5,2,1.jpeg,1.jpeg,0.5556,valid
impostor,5,2,1.jpeg,2.jpeg,0.5964,valid
impostor,5,2,1.jpeg,3.jpeg,0.5846,valid
impostor,5,2,1.jpeg,4.jpeg,0.5825,valid
impostor,5,3,1.jpeg,1.jpeg,0.5485,valid
impostor,5,3,1.jpeg,2.jpeg,0.539,valid
impostor,5,3,1.jpeg,3.jpeg,0.5885,valid
impostor,5,3,1.jpeg,4.jpeg,0.5692,valid
impostor,5,4,1.jpeg,1.jpeg,0.4984,valid
impostor,5,4,1.jpeg,2.jpeg,0.5547,valid
impostor,5,4,1.jpeg,3.jpeg,0.5371,valid
impostor,5,4,1.jpeg,4.jpeg,0.5822,valid
impostor,5,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,5,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,5,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,5,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,5,7,1.jpeg,1.jpeg,0.5322,valid
impostor,5,7,1.jpeg,2.jpeg,0.5191,valid
impostor,5,7,1.jpeg,3.jpeg,0.5679,valid
impostor,5,7,1.jpeg,4.jpeg,0.5567,valid
impostor,5,8,1.jpeg,1.jpeg,0.5439,valid
impostor,5,8,1.jpeg,2.jpeg,0.5461,valid
impostor,5,8,1.jpeg,3.jpeg,0.5645,valid
impostor,5,8,1.jpeg,4.jpeg,0.5873,valid
impostor,5,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,5,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,5,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,5,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,5,10,1.jpeg,1.jpeg,0.4393,valid
impostor,5,10,1.jpeg,2.jpeg,0.5358,valid
impostor,5,10,1.jpeg,3.jpeg,0.4322,valid
impostor,5,10,1.jpeg,4.jpeg,0.5076,valid
impostor,6,1,1.jpeg,1.jpeg,0.6055,valid
impostor,6,1,1.jpeg,2.jpeg,0.5112,valid
impostor,6,1,1.jpeg,3.jpeg,0.5266,valid
impostor,6,1,1.jpeg,4.jpeg,0.5644,valid
impostor,6,2,1.jpeg,1.jpeg,0.5671,valid
impostor,6,2,1.jpeg,2.jpeg,0.5725,valid
impostor,6,2,1.jpeg,3.jpeg,0.5686,valid
impostor,6,2,1.jpeg,4.jpeg,0.5824,valid
impostor,6,3,1.jpeg,1.jpeg,0.5576,valid
impostor,6,3,1.jpeg,2.jpeg,0.5957,valid
impostor,6,3,1.jpeg,3.jpeg,0.5826,valid
impostor,6,3,1.jpeg,4.jpeg,0.5864,valid
impostor,6,4,1.jpeg,1.jpeg,0.5815,valid
impostor,6,4,1.jpeg,2.jpeg,0.6044,valid
impostor,6,4,1.jpeg,3.jpeg,0.6063,valid
impostor,6,4,1.jpeg,4.jpeg,0.6517,valid
impostor,6,5,1.jpeg,1.jpeg,0.5337,valid
impostor,6,5,1.jpeg,2.jpeg,0.5262,valid
impostor,6,5,1.jpeg,3.jpeg,0.5293,valid
impostor,6,5,1.jpeg,4.jpeg,0.5048,valid
impostor,6,7,1.jpeg,1.jpeg,0.5013,valid
impostor,6,7,1.jpeg,2.jpeg,0.5049,valid
impostor,6,7,1.jpeg,3.jpeg,0.5033,valid
impostor,6,7,1.jpeg,4.jpeg,0.5149,valid
impostor,6,8,1.jpeg,1.jpeg,0.5287,valid
impostor,6,8,1.jpeg,2.jpeg,0.5395,valid
impostor,6,8,1.jpeg,3.jpeg,0.532,valid
impostor,6,8,1.jpeg,4.jpeg,0.5314,valid
impostor,6,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,6,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,6,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,6,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,6,10,1.jpeg,1.jpeg,0.545,valid
impostor,6,10,1.jpeg,2.jpeg,0.5867,valid
impostor,6,10,1.jpeg,3.jpeg,0.5501,valid
impostor,6,10,1.jpeg,4.jpeg,0.4746,valid
impostor,7,1,1.jpeg,1.jpeg,0.5115,valid
impostor,7,1,1.jpeg,2.jpeg,0.5601,valid
impostor,7,1,1.jpeg,3.jpeg,0.5266,valid
impostor,7,1,1.jpeg,4.jpeg,0.5314,valid
impostor,7,2,1.jpeg,1.jpeg,0.5385,valid
impostor,7,2,1.jpeg,2.jpeg,0.5335,valid
impostor,7,2,1.jpeg,3.jpeg,0.4863,valid
impostor,7,2,1.jpeg,4.jpeg,0.5129,valid
impostor,7,3,1.jpeg,1.jpeg,0.4992,valid
impostor,7,3,1.jpeg,2.jpeg,0.5086,valid
impostor,7,3,1.jpeg,3.jpeg,0.5281,valid
impostor,7,3,1.jpeg,4.jpeg,0.5248,valid
impostor,7,4,1.jpeg,1.jpeg,0.5173,valid
impostor,7,4,1.jpeg,2.jpeg,0.5375,valid
impostor,7,4,1.jpeg,3.jpeg,0.5228,valid
impostor,7,4,1.jpeg,4.jpeg,0.5744,valid
impostor,7,5,1.jpeg,1.jpeg,0.5192,valid
impostor,7,5,1.jpeg,2.jpeg,0.556,valid
impostor,7,5,1.jpeg,3.jpeg,0.5797,valid
impostor,7,5,1.jpeg,4.jpeg,0.5163,valid
impostor,7,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,7,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,7,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,7,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,7,8,1.jpeg,1.jpeg,0.5924,valid
impostor,7,8,1.jpeg,2.jpeg,0.5978,valid
impostor,7,8,1.jpeg,3.jpeg,0.5748,valid
impostor,7,8,1.jpeg,4.jpeg,0.5497,valid
impostor,7,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,7,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,7,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,7,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,7,10,1.jpeg,1.jpeg,0.4777,valid
impostor,7,10,1.jpeg,2.jpeg,0.4984,valid
impostor,7,10,1.jpeg,3.jpeg,0.5207,valid
impostor,7,10,1.jpeg,4.jpeg,0.5464,valid
impostor,8,1,1.jpeg,1.jpeg,0.5389,valid
impostor,8,1,1.jpeg,2.jpeg,0.5275,valid
impostor,8,1,1.jpeg,3.jpeg,0.5575,valid
impostor,8,1,1.jpeg,4.jpeg,0.5604,valid
impostor,8,2,1.jpeg,1.jpeg,0.5289,valid
impostor,8,2,1.jpeg,2.jpeg,0.5299,valid
impostor,8,2,1.jpeg,3.jpeg,0.5051,valid
impostor,8,2,1.jpeg,4.jpeg,0.5442,valid
impostor,8,3,1.jpeg,1.jpeg,0.5718,valid
impostor,8,3,1.jpeg,2.jpeg,0.5745,valid
impostor,8,3,1.jpeg,3.jpeg,0.6059,valid
impostor,8,3,1.jpeg,4.jpeg,0.5431,valid
impostor,8,4,1.jpeg,1.jpeg,0.546,valid
impostor,8,4,1.jpeg,2.jpeg,0.556,valid
impostor,8,4,1.jpeg,3.jpeg,0.55,valid
impostor,8,4,1.jpeg,4.jpeg,0.5213,valid
impostor,8,5,1.jpeg,1.jpeg,0.5381,valid
impostor,8,5,1.jpeg,2.jpeg,0.5493,valid
impostor,8,5,1.jpeg,3.jpeg,0.5047,valid
impostor,8,5,1.jpeg,4.jpeg,0.5408,valid
impostor,8,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,8,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,8,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,8,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,8,7,1.jpeg,1.jpeg,0.6048,valid
impostor,8,7,1.jpeg,2.jpeg,0.5899,valid
impostor,8,7,1.jpeg,3.jpeg,0.5565,valid
impostor,8,7,1.jpeg,4.jpeg,0.6052,valid
impostor,8,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,8,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,8,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,8,9,1.jpeg,4.jpeg,,invalid_selfie
impostor,8,10,1.jpeg,1.jpeg,0.5566,valid
impostor,8,10,1.jpeg,2.jpeg,0.5497,valid
impostor,8,10,1.jpeg,3.jpeg,0.529,valid
impostor,8,10,1.jpeg,4.jpeg,0.4443,valid
impostor,9,1,1.jpeg,1.jpeg,0.6355,valid
impostor,9,1,1.jpeg,2.jpeg,0.5658,valid
impostor,9,1,1.jpeg,3.jpeg,0.5582,valid
impostor,9,1,1.jpeg,4.jpeg,0.5718,valid
impostor,9,2,1.jpeg,1.jpeg,0.5482,valid
impostor,9,2,1.jpeg,2.jpeg,0.4972,valid
impostor,9,2,1.jpeg,3.jpeg,0.5207,valid
impostor,9,2,1.jpeg,4.jpeg,0.5038,valid
impostor,9,3,1.jpeg,1.jpeg,0.5065,valid
impostor,9,3,1.jpeg,2.jpeg,0.5345,valid
impostor,9,3,1.jpeg,3.jpeg,0.5245,valid
impostor,9,3,1.jpeg,4.jpeg,0.5243,valid
impostor,9,4,1.jpeg,1.jpeg,0.5786,valid
impostor,9,4,1.jpeg,2.jpeg,0.513,valid
impostor,9,4,1.jpeg,3.jpeg,0.5881,valid
impostor,9,4,1.jpeg,4.jpeg,0.5445,valid
impostor,9,5,1.jpeg,1.jpeg,0.6296,valid
impostor,9,5,1.jpeg,2.jpeg,0.5774,valid
impostor,9,5,1.jpeg,3.jpeg,0.5758,valid
impostor,9,5,1.jpeg,4.jpeg,0.6058,valid
impostor,9,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,9,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,9,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,9,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,9,7,1.jpeg,1.jpeg,0.5201,valid
impostor,9,7,1.jpeg,2.jpeg,0.5188,valid
impostor,9,7,1.jpeg,3.jpeg,0.6039,valid
impostor,9,7,1.jpeg,4.jpeg,0.6081,valid
impostor,9,8,1.jpeg,1.jpeg,0.5642,valid
impostor,9,8,1.jpeg,2.jpeg,0.5279,valid
impostor,9,8,1.jpeg,3.jpeg,0.5704,valid
impostor,9,8,1.jpeg,4.jpeg,0.5396,valid
impostor,9,10,1.jpeg,1.jpeg,0.5193,valid
impostor,9,10,1.jpeg,2.jpeg,0.5568,valid
impostor,9,10,1.jpeg,3.jpeg,0.5746,valid
impostor,9,10,1.jpeg,4.jpeg,0.5048,valid
impostor,10,1,1.jpeg,1.jpeg,0.5867,valid
impostor,10,1,1.jpeg,2.jpeg,0.4584,valid
impostor,10,1,1.jpeg,3.jpeg,0.5487,valid
impostor,10,1,1.jpeg,4.jpeg,0.507,valid
impostor,10,2,1.jpeg,1.jpeg,0.56,valid
impostor,10,2,1.jpeg,2.jpeg,0.5875,valid
impostor,10,2,1.jpeg,3.jpeg,0.5854,valid
impostor,10,2,1.jpeg,4.jpeg,0.5637,valid
impostor,10,3,1.jpeg,1.jpeg,0.5381,valid
impostor,10,3,1.jpeg,2.jpeg,0.524,valid
impostor,10,3,1.jpeg,3.jpeg,0.4813,valid
impostor,10,3,1.jpeg,4.jpeg,0.5132,valid
impostor,10,4,1.jpeg,1.jpeg,0.5467,valid
impostor,10,4,1.jpeg,2.jpeg,0.532,valid
impostor,10,4,1.jpeg,3.jpeg,0.5437,valid
impostor,10,4,1.jpeg,4.jpeg,0.5289,valid
impostor,10,5,1.jpeg,1.jpeg,0.544,valid
impostor,10,5,1.jpeg,2.jpeg,0.534,valid
impostor,10,5,1.jpeg,3.jpeg,0.5354,valid
impostor,10,5,1.jpeg,4.jpeg,0.5072,valid
impostor,10,6,1.jpeg,1.jpeg,0.0,no_selfie_face
impostor,10,6,1.jpeg,2.jpeg,0.0,no_selfie_face
impostor,10,6,1.jpeg,3.jpeg,0.0,no_selfie_face
impostor,10,6,1.jpeg,4.jpeg,0.0,no_selfie_face
impostor,10,7,1.jpeg,1.jpeg,0.6257,valid
impostor,10,7,1.jpeg,2.jpeg,0.6045,valid
impostor,10,7,1.jpeg,3.jpeg,0.5855,valid
impostor,10,7,1.jpeg,4.jpeg,0.6416,valid
impostor,10,8,1.jpeg,1.jpeg,0.6008,valid
impostor,10,8,1.jpeg,2.jpeg,0.6176,valid
impostor,10,8,1.jpeg,3.jpeg,0.6049,valid
impostor,10,8,1.jpeg,4.jpeg,0.5801,valid
impostor,10,9,1.jpeg,1.jpeg,,invalid_selfie
impostor,10,9,1.jpeg,2.jpeg,,invalid_selfie
impostor,10,9,1.jpeg,3.jpeg,,invalid_selfie
impostor,10,9,1.jpeg,4.jpeg,,invalid_selfie
